import_time,filters_time,export_time,
0.017623,0.000000,0.339100,
0.027146,0.000000,0.176547,
0.000904,0.000000,0.003520,
0.019221,0.000000,0.167271,
0.005633,0.000000,
0.017961,0.147916,0.412399,
0.031713,0.262612,1.120765,
0.000667,0.093623,0.003614,
0.020620,1.314981,0.406115,
0.005861,0.053915,0.220544,
0.393416,2.021185,10.191147,
0.421576,2.024774,10.150884,
0.001487,0.456613,0.002953,
0.002752,0.106538,0.021489,
0.113603,0.906601,3.042877,
0.211397,2.236887,7.646457,
0.001258,0.110547,0.017191,
0.007158,0.046605,0.115355,
